Time. hour,Generation of GC_1. MW,Consumption of GC_1. MW,Generation of GC_2. MW,Consumption of GC_1. MW
0,16,27.4,20.5,3.56
1,16.4,26,20.5,3.38
2,15,26.2,20.5,3.4
3,9.7,25.6,11.76,3.32
4,9.4,25.2,11.76,3.27
5,9.4,25.2,11.76,3.27
6,12.2,25,15.65,3.25
7,13.6,26.8,15.65,3.48
8,12.3,28.8,15.65,3.74
9,11.9,30,15.65,3.9
10,12.5,28.8,15.65,3.74
11,12.8,28.8,15.65,3.74
12,17.3,29.4,20.5,3.82
13,17.5,29.4,20.5,3.82
14,16.9,28.6,20.5,3.71
15,17.4,28.4,20.5,3.69
16,16.5,28.4,20.5,3.69
17,16.3,28.4,20.5,3.69
18,16,28.2,20.5,3.66
19,16.4,30.8,20.5,4
21,16.8,30.2,20.5,3.92
22,16.2,30.4,20.5,3.95
23,16.9,29.8,20.5,3.87
